experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
1,2025-12-04 14:59:19,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],4018.0,1.0,1,4018.0,327680,573440,17072,1,0,4.29,4018.0,1,8000,10,5,9,,0,0.001069
2,2025-12-04 14:59:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],16560.0,1.0,1,16560.0,0,1687552,345580,1,0,72.89,16560.0,1,8000,22,0,26,,0,0.004402
3,2025-12-04 14:59:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2315.0,1.0,1,2315.0,7274496,0,6881280,1,0,1.19,2315.0,1,8000,104,111,0,,0,0.000515
4,2025-12-04 14:59:21,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6838.0,1.0,1,6838.0,327680,507904,607100,1,0,12.29,6838.0,1,8000,12,5,8,,0,0.001797
5,2025-12-04 14:59:21,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],2859.0,1.0,1,2859.0,7798784,0,8454144,1,0,1.79,2859.0,1,8000,120,119,0,,0,0.000626
6,2025-12-04 14:59:22,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],14026.6,2.8,5,70133.0,15466496,1228800,18107416,2,3,186.38,26068.0,5,8000,252,236,19,98370371,0,0.00715
7,2025-12-04 14:59:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],23771.5,3.0,6,142629.0,851968,3162112,4773936,2,4,747.43,53173.0,6,8000,69,13,49,285160216,0,0.014057
8,2025-12-04 14:59:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],13751.5,2.5,4,55006.0,15269888,0,45547520,0,4,39.34,13794.0,4,8000,205,233,0,1242,0,0.002852
9,2025-12-04 14:59:25,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],4018.0,1.0,1,4018.0,327680,573440,17072,1,0,4.29,4018.0,1,8000,0,5,9,,0,0.001069
10,2025-12-04 14:59:26,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],16560.0,1.0,1,16560.0,0,1687552,345580,1,0,72.89,16560.0,1,8000,0,0,26,,0,0.004402
