experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
1,2025-12-04 15:12:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3986.0,1.0,1,3986.0,327680,573440,17072,1,0,4.24,3986.0,1,16000,10,5,9,,0,0.001064
2,2025-12-04 15:12:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],16424.0,1.0,1,16424.0,0,1687552,345580,1,0,71.91,16424.0,1,16000,22,0,26,,0,0.004378
3,2025-12-04 15:12:07,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],1843.0,1.0,1,1843.0,7274496,0,6881280,1,0,0.8,1843.0,1,16000,104,111,0,,0,0.000436
4,2025-12-04 15:12:07,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6637.0,1.0,1,6637.0,327680,507904,607100,1,0,11.7,6637.0,1,16000,12,5,8,,0,0.001763
5,2025-12-04 15:12:08,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],2268.0,1.0,1,2268.0,7798784,0,8454144,1,0,1.2,2268.0,1,16000,120,119,0,,0,0.000527
6,2025-12-04 15:12:09,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],13651.2,2.8,5,68256.0,15466496,1228800,18107416,2,3,185.2,25818.0,5,16000,254,236,19,106697014,0,0.007173
7,2025-12-04 15:12:10,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],22356.0,3.0,6,134136.0,1179648,2965504,4642864,4,2,689.93,50703.0,6,16000,62,18,46,369388460,0,0.013607
8,2025-12-04 15:12:11,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],9395.5,2.5,4,37582.0,21299200,0,39518208,0,4,19.99,9429.0,4,16000,312,325,0,756,0,0.00212
9,2025-12-04 15:12:11,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3986.0,1.0,1,3986.0,327680,573440,17072,1,0,4.24,3986.0,1,16000,0,5,9,,0,0.001064
10,2025-12-04 15:12:12,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],16424.0,1.0,1,16424.0,0,1687552,345580,1,0,71.91,16424.0,1,16000,0,0,26,,0,0.004378
11,2025-12-04 15:12:13,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],2211.0,1.0,1,2211.0,4653056,0,9502720,1,0,1.1,2211.0,1,16000,0,71,0,,0,0.000498
12,2025-12-04 15:12:13,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],6645.0,1.0,1,6645.0,262144,507904,672636,1,0,11.73,6645.0,1,16000,0,4,8,,0,0.001765
13,2025-12-04 15:12:14,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],2976.0,1.0,1,2976.0,3080192,0,13172736,1,0,1.93,2976.0,1,16000,0,47,0,,0,0.000647
14,2025-12-04 15:12:15,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_balanced,"[[1,1,1,1,1]]",[],13748.8,2.8,5,68744.0,8060928,1163264,25578520,3,2,178.89,25415.0,5,16000,0,123,18,97535105,0,0.007039
15,2025-12-04 15:12:16,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_vision_heavy,"[[2,2,0,2,0]]",[],29478.833333,3.0,6,176873.0,1114112,2834432,4839472,2,4,683.93,50547.0,6,16000,0,17,44,26315250,0,0.013531
16,2025-12-04 15:12:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,mixed_ml_heavy,"[[0,0,2,0,2]]",[],11868.5,2.5,4,47474.0,3211264,0,57606144,0,4,30.18,11902.0,4,16000,0,49,0,756,0,0.002536
17,2025-12-04 15:12:17,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,single_canny,"[[1,0,0,0,0]]",[],3998.0,1.0,1,3998.0,262144,507904,148144,1,0,4.26,3998.0,1,16000,0,4,8,,0,0.001065
